item_id,date,steps
p06,2020-01-03,21206.0
p06,2020-01-04,5505.0
p06,2020-01-05,9205.0
p06,2020-01-06,16698.0
p06,2020-01-07,22046.0
p06,2020-01-08,11875.0
p06,2020-01-09,12677.0
p06,2020-01-10,14740.0
p06,2020-01-11,6356.0
p06,2020-01-12,8220.0
p06,2020-01-13,11225.0
p06,2020-01-14,23909.0
p06,2020-01-15,17218.0
p06,2020-01-16,13471.0
p06,2020-01-17,15080.0
p06,2020-01-18,10668.0
p06,2020-01-19,12767.0
p06,2020-01-20,12969.0
p06,2020-01-21,19587.0
p06,2020-01-22,12449.0
p06,2020-01-23,16912.0
p06,2020-01-24,11778.0
p06,2020-01-25,12526.0
p06,2020-01-26,7724.0
p06,2020-01-27,18901.0
p06,2020-01-28,13924.0
p06,2020-01-29,15027.0
p06,2020-01-30,19324.0
p06,2020-01-31,20418.0
p06,2020-02-01,6750.0
p06,2020-02-02,10674.0
p06,2020-02-03,14075.0
p06,2020-02-04,15168.0
p06,2020-02-05,17656.0
p06,2020-02-06,23201.0
p06,2020-02-07,11461.0
p06,2020-02-08,6688.0
p06,2020-02-09,11882.0
p06,2020-02-10,14296.0
p06,2020-02-11,23778.0
p06,2020-02-12,13367.0
p06,2020-02-13,16553.0
p06,2020-02-14,15395.0
p06,2020-02-15,6220.0
p06,2020-02-16,9840.0
p06,2020-02-17,16697.0
p06,2020-02-18,18417.0
p06,2020-02-19,11235.0
p06,2020-02-20,14733.0
p06,2020-02-21,21907.0
p06,2020-02-22,11523.0
p06,2020-02-23,10247.0
p06,2020-02-24,18858.0
p06,2020-02-25,13538.0
p06,2020-02-26,17659.0
p06,2020-02-27,20871.0
p06,2020-02-28,14736.0
p06,2020-02-29,8254.0
p06,2020-03-01,6465.0
p06,2020-03-02,13185.0
p06,2020-03-03,14399.0
p06,2020-03-04,26124.0
p06,2020-03-05,13892.0
p06,2020-03-06,17486.0
p06,2020-03-07,9065.0
p06,2020-03-08,4867.0
p06,2020-03-09,24194.0
p06,2020-03-10,16479.0
p06,2020-03-11,18553.0
p06,2020-03-12,15869.0
p06,2020-03-13,19075.0
p06,2020-03-14,6819.0
p06,2020-03-15,2782.0
p06,2020-03-16,17433.0
p06,2020-03-17,14218.0
p06,2020-03-18,15606.0
p06,2020-03-19,15483.0
p06,2020-03-20,13851.0
p06,2020-03-21,16478.0
p06,2020-03-22,9512.0
p06,2020-03-23,19509.0
p06,2020-03-24,12330.0
p06,2020-03-25,13209.0
p06,2020-03-26,21661.0
p06,2020-03-27,10031.0
p06,2020-03-28,8162.0
p06,2020-03-29,4358.0
p06,2020-03-30,18820.0
p06,2020-03-31,14243.0
p07,2019-11-05,14243.0
p07,2019-11-06,9370.0
p07,2019-11-07,19979.0
p07,2019-11-08,9614.0
p07,2019-11-09,28445.0
p07,2019-11-10,6203.0
p07,2019-11-11,17453.0
p07,2019-11-12,7921.0
p07,2019-11-13,19280.0
p07,2019-11-14,15531.0
p07,2019-11-15,19813.0
p07,2019-11-16,14579.0
p07,2019-11-17,21765.0
p07,2019-11-18,10932.0
p07,2019-11-19,14873.0
p07,2019-11-20,19472.0
p07,2019-11-21,18312.0
p07,2019-11-22,9074.0
p07,2019-11-23,11397.0
